,author,title,desciption,url,source,content,pub_date,photo_url,text_combined,tokens,lemms
10,Richard Lawler,The FBI launched a task force to investigate Tesla attacks,A report in the New York Post on Monday revealed the existence of a new 10-person FBI task force focused on vandalism and other activity aimed toward Tesla in response to the actions of Elon Musk.  Like Attorney General Pam Bondi’s re-announcement last week o…,https://www.theverge.com/news/635091/fbi-tesla-task-force-terrorism,The Verge,"The FBI is reportedly looking into incidents of vandalism and arson, and tracking the planned Tesla Takedown protests.
The FBI is reportedly looking into incidents of vandalism and arson, and tracki… [+1818 chars]",2025-03-24,https://platform.theverge.com/wp-content/uploads/sites/2/2025/03/gettyimages-2205777093.jpg?quality=90&strip=all&crop=0%2C10.14263417715%2C100%2C79.714731645701&w=1200,the fbi launched a task force to investigate tesla attacks a report in the new york post on monday revealed the existence of a new  person fbi task force focused on vandalism and other activity aimed toward tesla in response to the actions of elon musk like attorney general pam bondi s re announcement last week o,fbi launched task force investigate tesla attacks report new york post monday revealed existence new person fbi task force focused vandalism activity aimed toward tesla response actions elon musk like attorney general pam bondi announcement last week,fbi launched task force investigate tesla attacks report new york post monday revealed existence new person fbi task force focused vandalism activity aimed toward tesla response actions elon musk like attorney general pam bondi announcement last week
11,Richard Lawler,US attorney general re-announces ‘severe’ charges against alleged Tesla arsonists,"As reports of vandalism and even a supposed doxing website targeting Tesla locations and vehicles continue to appear, Attorney General Pam Bondi issued a new warning about old crimes. In a Department of Justice press release, she “announced charges against th…",https://www.theverge.com/news/633445/pam-bondi-announces-old-tesla-vandalism-arrests,The Verge,"But in a scary voice this time.
But in a scary voice this time.
As reports of vandalism and even a supposed doxing website targeting Tesla locations and vehicles continue to appear, Attorney Genera… [+1366 chars]",2025-03-20,https://platform.theverge.com/wp-content/uploads/sites/2/2025/03/gettyimages-2205773666.jpg?quality=90&strip=all&crop=0%2C13.641556866819%2C83.6%2C63.333858116722&w=1200,us attorney general re announces severe charges against alleged tesla arsonists as reports of vandalism and even a supposed doxing website targeting tesla locations and vehicles continue to appear attorney general pam bondi issued a new warning about old crimes in a department of justice press release she announced charges against th,us attorney general announces severe charges alleged tesla arsonists reports vandalism even supposed doxing website targeting tesla locations vehicles continue appear attorney general pam bondi issued new warning old crimes department justice press release announced charges th,us attorney general announces severe charges alleged tesla arsonists reports vandalism even supposed doxing website targeting tesla locations vehicles continue appear attorney general pam bondi issued new warning old crimes department justice press release announced charges th
12,Andrew J. Hawkins,Ford’s Tesla Supercharger adapters are now on sale for $200,"Ford is making some changes to how it handles its EV charging accessories. The company was the first to announce its plans to adopt Tesla’s North American Charging Standard (NACS) connector for its EVs, and was also first to distribute NACS adapters to its EV…",https://www.theverge.com/news/627230/ford-nacs-adapter-tesla-supercharger-price,The Verge,"Ford has dealt with delays and supply shortages in getting NACS adapters to customers.
Ford has dealt with delays and supply shortages in getting NACS adapters to customers.
Ford is making some cha… [+2338 chars]",2025-03-10,https://platform.theverge.com/wp-content/uploads/sites/2/2025/03/Ford-Charging-Adapter_Connecting.jpg?quality=90&strip=all&crop=0%2C10.732984293194%2C100%2C78.534031413613&w=1200,ford s tesla supercharger adapters are now on sale for  ford is making some changes to how it handles its ev charging accessories the company was the first to announce its plans to adopt tesla s north american charging standard nacs connector for its evs and was also first to distribute nacs adapters to its ev,ford tesla supercharger adapters sale ford making changes handles ev charging accessories company first announce plans adopt tesla north american charging standard nacs connector evs also first distribute nacs adapters ev,ford tesla supercharger adapters sale ford making changes handles ev charging accessories company first announce plans adopt tesla north american charging standard nacs connector evs also first distribute nacs adapters ev
13,Andrew J. Hawkins,Tesla Cybertruck deliveries reportedly on hold because the trim is flying off,America’s favorite low poly electric truck is facing a new set of problems that don’t have anything to do with people spray painting swastikas or crude comments about Elon Musk on them. Deliveries of the Tesla Cybertruck are on hold while the company addresse…,https://www.theverge.com/news/629352/tesla-cybertruck-deliveries-on-hold-loose-trim,The Verge,America’s favorite low poly electric truck is facing a new set of problems that don’t have anything to do with people spray painting swastikas or crude comments about Elon Musk on them. Deliveries of… [+1951 chars],2025-03-13,https://platform.theverge.com/wp-content/uploads/sites/2/chorus/uploads/chorus_asset/file/25830320/STKS493_CYBERTRUCK_CVIRGINIA_B.jpg?quality=90&strip=all&crop=0%2C10.732984293194%2C100%2C78.534031413613&w=1200,tesla cybertruck deliveries reportedly on hold because the trim is flying off america s favorite low poly electric truck is facing a new set of problems that don t have anything to do with people spray painting swastikas or crude comments about elon musk on them deliveries of the tesla cybertruck are on hold while the company addresse,tesla cybertruck deliveries reportedly hold trim flying america favorite low poly electric truck facing new set problems anything people spray painting swastikas crude comments elon musk deliveries tesla cybertruck hold company addresse,tesla cybertruck deliveries reportedly hold trim flying america favorite low poly electric truck facing new set problems anything people spray painting swastikas crude comments elon musk deliveries tesla cybertruck hold company addresse
14,Umar Shakir,Elon Musk made more promises about Optimus and Cybercabs at Tesla’s surprise all-hands meeting,"At a surprise all-hands-on meeting Thursday night in Texas, Tesla CEO Elon Musk rallied up his company’s employees as the brand’s public reputation continues to plummet, Business Insider reports. At the livestreamed meeting, Musk told employees to “hang on to…",https://www.theverge.com/news/633907/elon-musk-tesla-employee-meeting-stock-value-drop-cybercab-optimus,The Verge,"The Tesla CEO pleads with employees (and, indirectly, to investors) to hang onto their stocks.
The Tesla CEO pleads with employees (and, indirectly, to investors) to hang onto their stocks.
At a su… [+2089 chars]",2025-03-21,https://platform.theverge.com/wp-content/uploads/sites/2/2025/01/STK022_ELON_MUSK_2_CVIRGINIA_B.jpg?quality=90&strip=all&crop=0%2C9.9676601489831%2C100%2C80.064679702034&w=1200,elon musk made more promises about optimus and cybercabs at tesla s surprise all hands meeting at a surprise all hands on meeting thursday night in texas tesla ceo elon musk rallied up his company s employees as the brand s public reputation continues to plummet business insider reports at the livestreamed meeting musk told employees to hang on to,elon musk made promises optimus cybercabs tesla surprise hands meeting surprise hands meeting thursday night texas tesla ceo elon musk rallied company employees brand public reputation continues plummet business insider reports livestreamed meeting musk told employees hang,elon musk made promises optimus cybercabs tesla surprise hands meeting surprise hands meeting thursday night texas tesla ceo elon musk rallied company employees brand public reputation continues plummet business insider reports livestreamed meeting musk told employees hang
15,Andrew J. Hawkins,The Nissan Leaf lives on as a compact SUV with a Tesla charge port,"The Nissan Leaf is back, and it’s not a frumpy looking hatchback anymore.  The Japanese automaker is dusting off its pioneering EV and giving it new technology and a new form factor. The Leaf will return as a crossover SUV with a Tesla plug (!!), casting off …",https://www.theverge.com/news/636386/nissan-leaf-third-generation-ev-suv-nacs,The Verge,"The rumors of my demise were greatly exaggerated.
The rumors of my demise were greatly exaggerated.
The Nissan Leaf is back, and its not a frumpy looking hatchback anymore. 
The Japanese automaker… [+3269 chars]",2025-03-26,https://platform.theverge.com/wp-content/uploads/sites/2/2025/03/All-new-Nissan-LEAF.jpg?quality=90&strip=all&crop=0%2C2.9824320816538%2C100%2C94.035135836692&w=1200,the nissan leaf lives on as a compact suv with a tesla charge port the nissan leaf is back and it s not a frumpy looking hatchback anymore the japanese automaker is dusting off its pioneering ev and giving it new technology and a new form factor the leaf will return as a crossover suv with a tesla plug casting off,nissan leaf lives compact suv tesla charge port nissan leaf back frumpy looking hatchback anymore japanese automaker dusting pioneering ev giving new technology new form factor leaf return crossover suv tesla plug casting,nissan leaf lives compact suv tesla charge port nissan leaf back frumpy looking hatchback anymore japanese automaker dusting pioneering ev giving new technology new form factor leaf return crossover suv tesla plug casting
16,David Pierce,The fake promise of better Siri,"Apple Intelligence is technically lots of things, but thereâs only one feature with the potential to actually meaningfully change the way you use your phone. That would be Siri, which Apple said last year it had turned from a quasi-helpful voice assistant i…",https://www.theverge.com/the-vergecast/629652/siri-delay-bad-apple-tesla-trump-vergecast,The Verge,"On The Vergecast: AI gadget failures, how Tesla became politics, and Sonoss TV dreams.
On The Vergecast: AI gadget failures, how Tesla became politics, and Sonoss TV dreams.
Apple Intelligence is t… [+2130 chars]",2025-03-14,https://platform.theverge.com/wp-content/uploads/sites/2/2025/03/VST_0314_Site.jpg?quality=90&strip=all&crop=0%2C10.732984293194%2C100%2C78.534031413613&w=1200,the fake promise of better siri apple intelligence is technically lots of things but there s only one feature with the potential to actually meaningfully change the way you use your phone that would be siri which apple said last year it had turned from a quasi helpful voice assistant i,fake promise better siri apple intelligence technically lots things one feature potential actually meaningfully change way use phone would siri apple said last year turned quasi helpful voice assistant,fake promise better siri apple intelligence technically lots things one feature potential actually meaningfully change way use phone would siri apple said last year turned quasi helpful voice assistant
17,Andrew J. Hawkins,The Volkswagen ID. EVERY1 is an affordable EV for the masses,"Volkswagen is bringing up the lights on the ID. EVERY1 show car that it says will become the promised €20,000 (about $20,800 USD) affordable EV that will hopefully turn around the automaker’s struggling business.  As market leaders like Tesla continue to prom…",https://www.theverge.com/news/624676/vw-id-every1-ev-price-range-specs-2027,The Verge,"The sporty hatchback will sell for 20,000 when it launches in Europe in 2027. But when will we see it in the US?
The sporty hatchback will sell for 20,000 when it launches in Europe in 2027. But whe… [+4137 chars]",2025-03-05,https://platform.theverge.com/wp-content/uploads/sites/2/2025/03/ID1_34front.jpg?quality=90&strip=all&crop=0%2C10.752696650476%2C100%2C78.494606699048&w=1200,the volkswagen id every is an affordable ev for the masses volkswagen is bringing up the lights on the id every show car that it says will become the promised   about   usd affordable ev that will hopefully turn around the automaker s struggling business as market leaders like tesla continue to prom,volkswagen id every affordable ev masses volkswagen bringing lights id every show car says become promised usd affordable ev hopefully turn around automaker struggling business market leaders like tesla continue prom,volkswagen id every affordable ev masses volkswagen bringing lights id every show car says become promised usd affordable ev hopefully turn around automaker struggling business market leaders like tesla continue prom
18,Justine Calma,“This man is not our boss” — EPA workers rally against DOGE cuts,"Environmental Protection Agency workers took to the streets across the US today to protest drastic cuts President Donald Trump and Elon Musk’s DOGE have made at the federal agency whose mission is to “protect human health and the environment.”  Musk, the face…",https://www.theverge.com/news/635710/doge-musk-trump-environmental-protection-agency-epa,The Verge,"How do you spell corruption? E-L-O-N, demonstrators chanted while marching in support of the Environmental Protection Agency.
How do you spell corruption? E-L-O-N, demonstrators chanted while marchi… [+4522 chars]",2025-03-25,https://platform.theverge.com/wp-content/uploads/sites/2/2025/03/257640_EPA_workers_protest_AKrales_0285.jpg?quality=90&strip=all&crop=0%2C10.732984293194%2C100%2C78.534031413613&w=1200,this man is not our boss epa workers rally against doge cuts environmental protection agency workers took to the streets across the us today to protest drastic cuts president donald trump and elon musk s doge have made at the federal agency whose mission is to protect human health and the environment musk the face,man boss epa workers rally doge cuts environmental protection agency workers took streets across us today protest drastic cuts president donald trump elon musk doge made federal agency whose mission protect human health environment musk face,man boss epa workers rally doge cuts environmental protection agency workers took streets across us today protest drastic cuts president donald trump elon musk doge made federal agency whose mission protect human health environment musk face
19,Mia Sato,Elon Musk is paying voters again ahead of the Wisconsin Supreme Court election,"Not satisfied with effectively buying a co-president role in Donald Trump’s administration, Elon Musk has turned his attention — and money — towards a key race in the swing state of Wisconsin. The billionaire’s America PAC is claiming to give $100 to register…",https://www.theverge.com/news/633834/elon-musk-paying-voters-petition-wisconsin-supreme-court-race,The Verge,"Musk has already funneled $14 million into the consequential race, which would swing the balance of power in the states highest court.
Musk has already funneled $14 million into the consequential ra… [+2854 chars]",2025-03-21,https://platform.theverge.com/wp-content/uploads/sites/2/2025/02/STK022_ELON_MUSK_4_CVIRGINIA_5.jpg?quality=90&strip=all&crop=0%2C10.732984293194%2C100%2C78.534031413613&w=1200,elon musk is paying voters again ahead of the wisconsin supreme court election not satisfied with effectively buying a co president role in donald trump s administration elon musk has turned his attention and money towards a key race in the swing state of wisconsin the billionaire s america pac is claiming to give  to register,elon musk paying voters ahead wisconsin supreme court election satisfied effectively buying co president role donald trump administration elon musk turned attention money towards key race swing state wisconsin billionaire america pac claiming give register,elon musk paying voters ahead wisconsin supreme court election satisfied effectively buying co president role donald trump administration elon musk turned attention money towards key race swing state wisconsin billionaire america pac claiming give register
20,Umar Shakir,Porsche’s next Taycan gets an infotainment upgrade — but no new CarPlay,"Porsche is upgrading the infotainment in the upcoming 2026 model year Taycan, 911, Panamera, and Cayenne with “more responsive” software and features such as an Alexa personal assistant. The 2026 Porsche Communication Management (PCM) will get the Porsche App…",https://www.theverge.com/news/635940/porsche-2026-911-taycan-infotainment-pcm-alexa-carplay,The Verge,"Porsche is expanding the Macan Electrics App Center to new vehicles and adding Alexa.
Porsche is expanding the Macan Electrics App Center to new vehicles and adding Alexa.
Porsche is upgrading the … [+1843 chars]",2025-03-25,https://platform.theverge.com/wp-content/uploads/sites/2/2025/03/TA26Q3EID0006_rgb__3_A3_RGB.jpg?quality=90&strip=all&crop=0%2C10.738752916039%2C100%2C78.522494167922&w=1200,porsche s next taycan gets an infotainment upgrade but no new carplay porsche is upgrading the infotainment in the upcoming  model year taycan  panamera and cayenne with more responsive software and features such as an alexa personal assistant the  porsche communication management pcm will get the porsche app,porsche next taycan gets infotainment upgrade new carplay porsche upgrading infotainment upcoming model year taycan panamera cayenne responsive software features alexa personal assistant porsche communication management pcm get porsche app,porsche next taycan gets infotainment upgrade new carplay porsche upgrading infotainment upcoming model year taycan panamera cayenne responsive software features alexa personal assistant porsche communication management pcm get porsche app
21,Verge Staff,Self-driving cars: Google and others map the road to automated vehicles,"Google and a number of automakers are spearheading the movement to get automated vehicles on America’s roads. Self-driving cars are street legal in three states, and Google’s fleet has collectively logged over 300,000 miles of time on the road. However, there…",https://www.theverge.com/2012/12/23/3797260/self-driving-cars-automated-vehicles,The Verge,"Google and a number of automakers are spearheading the movement to get automated vehicles on Americas roads. Self-driving cars are street legal in three states, and Googles fleet has collectively log… [+12349 chars]",2025-03-03,"https://platform.theverge.com/wp-content/uploads/sites/2/chorus/uploads/chorus_asset/file/10956381/google-self-driving-car-4-stock-1024.0.jpg?quality=90&strip=all&crop=0,6.8336832165651,100,86.33263356687",self driving cars google and others map the road to automated vehicles google and a number of automakers are spearheading the movement to get automated vehicles on america s roads self driving cars are street legal in three states and google s fleet has collectively logged over   miles of time on the road however there,self driving cars google others map road automated vehicles google number automakers spearheading movement get automated vehicles america roads self driving cars street legal three states google fleet collectively logged miles time road however,self driving cars google others map road automated vehicles google number automakers spearheading movement get automated vehicles america roads self driving cars street legal three states google fleet collectively logged miles time road however
22,David Pierce,An old smartwatch favorite makes a comeback,"Hi, friends! Welcome to Installer No. 76, your guide to the best and Verge-iest stuff in the world. (If youâre new here, welcome, sorry if your bracketâs busted, and also you can read all the old editions at the Installer homepage.) This week, I have been…",https://www.theverge.com/installer-newsletter/633860/pebble-2-duo-assassins-creed-shadows-pixel-9a-installer,The Verge,"Plus, in this weeks Installer: The latest Assassins Creed is here, Day One for Windows, a controversial Tesla video, and more.
Plus, in this weeks Installer: The latest Assassins Creed is here, Day … [+11629 chars]",2025-03-21,https://platform.theverge.com/wp-content/uploads/sites/2/2025/03/Installer-76.png?quality=90&strip=all&crop=0%2C10.761625442506%2C100%2C78.476749114988&w=1200,an old smartwatch favorite makes a comeback hi friends welcome to installer no  your guide to the best and verge iest stuff in the world if you re new here welcome sorry if your bracket s busted and also you can read all the old editions at the installer homepage this week i have been,old smartwatch favorite makes comeback hi friends welcome installer guide best verge iest stuff world new welcome sorry bracket busted also read old editions installer homepage week,old smartwatch favorite makes comeback hi friends welcome installer guide best verge iest stuff world new welcome sorry bracket busted also read old editions installer homepage week
23,Abigail Bassett,Mercedes-Benz is hedging its bets with rebooted CLA sedan,"Mercedes-Benz’s electric vehicles aren’t exactly selling like hotcakes. The EQS, EQE, and EQB have largely flopped, forcing the company to make significant changes to its electrification plans.   While the automaker has scaled back its ambitions, it’s not aba…",https://www.theverge.com/news/628464/mercedes-benz-cla-ev-hybrid-mma-platform,The Verge,"The automaker plans to offer electric, hybrid, and gas versions of the upcoming model all built on the new MMA platform.
The automaker plans to offer electric, hybrid, and gas versions of the upcomi… [+6722 chars]",2025-03-13,https://platform.theverge.com/wp-content/uploads/sites/2/2025/03/25C0035_003.jpg?quality=90&strip=all&crop=0%2C10.729026323664%2C100%2C78.541947352673&w=1200,mercedes benz is hedging its bets with rebooted cla sedan mercedes benz s electric vehicles aren t exactly selling like hotcakes the eqs eqe and eqb have largely flopped forcing the company to make significant changes to its electrification plans while the automaker has scaled back its ambitions it s not aba,mercedes benz hedging bets rebooted cla sedan mercedes benz electric vehicles exactly selling like hotcakes eqs eqe eqb largely flopped forcing company make significant changes electrification plans automaker scaled back ambitions aba,mercedes benz hedging bets rebooted cla sedan mercedes benz electric vehicles exactly selling like hotcakes eqs eqe eqb largely flopped forcing company make significant changes electrification plans automaker scaled back ambitions aba
24,Alex Heath,How ‘Careless People’ is becoming a bigger problem for Meta,"Meta has aggressively pushed to discredit and silence Sarah Wynn-Williams, the author of Careless People, her memoir about working at the company as a policy director. Now, sheâs fighting back.  Attorneys for Wynn-Williams this week filed an emergency motio…",https://www.theverge.com/command-line-newsletter/634080/careless-people-sarah-wynn-williams-book-meta-congress,The Verge,"The companys attempt to squash an ex-employees controversial memoir has gotten the attention of Congress.
The companys attempt to squash an ex-employees controversial memoir has gotten the attention… [+8144 chars]",2025-03-21,https://platform.theverge.com/wp-content/uploads/sites/2/2025/03/257636_careless_people_CVirginia.jpg?quality=90&strip=all&crop=0%2C10.732984293194%2C100%2C78.534031413613&w=1200,how careless people is becoming a bigger problem for meta meta has aggressively pushed to discredit and silence sarah wynn williams the author of careless people her memoir about working at the company as a policy director now she s fighting back attorneys for wynn williams this week filed an emergency motio,careless people becoming bigger problem meta meta aggressively pushed discredit silence sarah wynn williams author careless people memoir working company policy director fighting back attorneys wynn williams week filed emergency motio,careless people becoming bigger problem meta meta aggressively pushed discredit silence sarah wynn williams author careless people memoir working company policy director fighting back attorneys wynn williams week filed emergency motio
